timestamp_s,speed_kmh,throttle,brake,steering,rpm,gear,normalized_position,world_x,world_y,world_z
0.0019486999954096973,0.006666519213467836,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.13157653808594,-11.491677284240723,668.7021484375
0.014153600001009181,0.0016200367826968431,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.13157653808594,-11.49167251586914,668.7021484375
0.025453700014622882,0.005456652957946062,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.13157653808594,-11.491677284240723,668.7021484375
0.036301700019976124,0.0016167083522304893,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.13157653808594,-11.491678237915039,668.7021484375
0.04760710001573898,0.006663836073130369,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.13157653808594,-11.491673469543457,668.7021484375
0.060199600004125386,0.006665678229182959,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.13157653808594,-11.491679191589355,668.7021484375
0.07092709999415092,0.005456239450722933,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491674423217773,668.7021484375
0.08189630002016202,0.0016161621315404773,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491678237915039,668.7021484375
0.0930279000021983,0.005451439414173365,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491680145263672,668.7021484375
0.10388149999198504,0.0016132605960592628,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491679191589355,668.7021484375
0.11512490001041442,0.006670743692666292,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491680145263672,668.7021484375
0.12602029999834485,0.0016132076270878315,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491680145263672,668.7021484375
0.13705380001920275,0.006663973908871412,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491680145263672,668.7021484375
0.1480370000062976,0.0016126413829624653,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491681098937988,668.7021484375
0.1594535000040196,0.006674920674413443,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491676330566406,668.7021484375
0.17056570001295768,0.0016116459155455232,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491681098937988,668.7021484375
0.18131949999951757,0.006671573501080275,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491682052612305,668.7021484375
0.19241439999314025,0.005446545779705048,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491677284240723,668.7021484375
0.20315829999162816,0.006670772098004818,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491683006286621,668.7021484375
0.21386819999315776,0.005445980001240969,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491678237915039,668.7021484375
0.22469180001644418,0.0016111185541376472,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491683006286621,668.7021484375
0.23559470000327565,0.005444701761007309,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491679191589355,668.7021484375
0.2466574000136461,0.0016083677764981985,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491679191589355,668.7021484375
0.2577649000158999,0.005443936213850975,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491683959960938,668.7021484375
0.2688627000025008,0.0016083281952887774,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491679191589355,668.7021484375
0.280023400002392,0.006675338372588158,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491679191589355,668.7021484375
0.2909732999978587,0.0016071315621957183,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491684913635254,668.7021484375
0.30193670000880957,0.006677237339317799,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491683959960938,668.7021484375
0.3129151000175625,0.0016044264193624258,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491684913635254,668.7021484375
0.3241275000036694,0.006676912773400545,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491681098937988,668.7021484375
0.33493430001544766,0.00544026680290699,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491681098937988,668.7021484375
0.34596490001422353,0.006674875505268574,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491681098937988,668.7021484375
0.3570097000047099,0.005441400222480297,0.0,0.0,0.0,1877,1,0.8306893110275269,-131.131591796875,-11.491684913635254,668.7021484375
